fireplace, amusement park, bill, double decker bus, shower head
window box, hames bond, roar, twiddle your thumbs, alice in wonderland
fork, tarantula, weigh, in a nutshell, gills
coat hanger, penguin, beat, extinct, nugget
lampshade, husband, shop, fall in love, trojan horse
anorak, dalmatian, sltiher, platform shoes, trumpet
deck, donkey, suck, iced tea, baby carriage
fishing rod, cellar, drive, rubber duck, ski jump
circular saw, singer, decorate, spare tire, hoe 
dvd, terrier, crumple, angry, spatula
zip, captain, scream, masking tape, stable
instrument, deep sea diver, grind, bow tie, broken arm
dummy, shark, swipe, mint jelly, easter egg
magazine, crossing guard, exhale, sand trap, drumstick
clothes pin, aroma, snare, fair, headlights
stretcher, home office, split, cloak and dagger, eye lid
cherry, painter, subtract, starting pistol, newt
french beard, goal keeper, argue, less, trigger
parachute, peter pan, sleepover, stiff upper lip, capsule
pen, trip, hook, kilt, blow your nose
kayak, smile, collar, root beer, notepad
pig sty, falcon, itch, summer house, snake pit 
foot pump, tapeworm, vanish, bobby socks, horseshoe
pigoen hole, seagull, surprise, kickboxing, cartwheel
fly fishing, hunter, raise, kick the bucket, toothache
jewellery, chicken, ram, a stitch in time, toothbrush
flagpole, badger, dye, over the limit, skull
periscope, dove, huddle, stage fright, email
stove, dinosaur, plug, mischievous, projector
magnet, stow, exit, neptune, tuba
carnation, darth vader, export, flip flops, eagle
moon walk, teacher, force, deodarant, hospital
garbage can, great britain, pause, message in a bottle, herd
minute, mars, fling, see no evil, buck
duel, popeye, melt, make a speech, diaper
finish line, squirrel, bend, wolf whistle, shore
jacuzzi, coliseum, hang, rush hour, toaster
bench, box office, choose, bee in your bonnet, binoculars
ribs, kitten, scar, dead end, coffee cup
hush, tiger, bathe, cross country, helicopter
molar, pirate, speak, halftime, best friend
antenna, girlscout, see, telephone bill, fox
cue, pope, spin, draft beer, chameleon
stockings, goose, pick, true blood, traffic light
bass drum, seahorse, engrave, king's ransom, mother-in-law
criossant, coal mine, spell, in the thick of it, umbrella
link, fisherman, leak, tie your shoes, babysitter
lung, anteater, erupt, blender, egg yolk
blackeye, me, shoot, conversation, buttercup
dagger, sherpa, throb, under one's belt, poppy
knee, father-in-aw, comb, crossword puzzle, drain
diamond ring, prison, sweat, venetian blinds, dynamite
dozen, swordfish, heave, secret passage, pincers
robot, surfer, touch, back to square one, hand grenade
shelter, home, relax, jack-in-the-box, coconut
chicken pox, priest, spray, sound barrier, niagara falls
radio, flamingo, pray, pull your socks up, campfire
